,area_code,area,year,value
1,2,Afghanistan,2019,38042
3,3,Albania,2019,2881
5,4,Algeria,2019,43053
7,7,Angola,2019,31825
9,8,Antigua and Barbuda,2019,97
11,9,Argentina,2019,44781
13,1,Armenia,2019,2958
15,10,Australia,2019,25203
17,11,Austria,2019,8955
19,52,Azerbaijan,2019,10048
21,12,Bahamas,2019,389
23,16,Bangladesh,2019,163046
25,14,Barbados,2019,287
27,57,Belarus,2019,9452
29,255,Belgium,2019,11539
31,23,Belize,2019,390
33,53,Benin,2019,11801
35,19,Bolivia (Plurinational State of),2019,11513
37,80,Bosnia and Herzegovina,2019,3301
39,20,Botswana,2019,2304
41,21,Brazil,2019,211050
43,27,Bulgaria,2019,7000
45,233,Burkina Faso,2019,20321
47,29,Burundi,2019,11531
49,35,Cabo Verde,2019,550
51,115,Cambodia,2019,16487
53,32,Cameroon,2019,25876
55,33,Canada,2019,37411
57,37,Central African Republic,2019,4745
59,39,Chad,2019,15947
61,40,Chile,2019,18952
63,96,"China, Hong Kong SAR",2019,7436
65,128,"China, Macao SAR",2019,640
67,41,"China, mainland",2019,1433784
69,214,"China, Taiwan Province of",2019,23774
71,44,Colombia,2019,50339
73,45,Comoros,2019,851
75,46,Congo,2019,5381
77,48,Costa Rica,2019,5048
79,107,C?te d'Ivoire,2019,25717
81,98,Croatia,2019,4130
83,49,Cuba,2019,11333
85,50,Cyprus,2019,1199
87,167,Czechia,2019,10689
89,116,Democratic People's Republic of Korea,2019,25666
91,250,Democratic Republic of the Congo,2019,86791
93,54,Denmark,2019,5772
95,72,Djibouti,2019,974
97,55,Dominica,2019,72
99,56,Dominican Republic,2019,10739
101,58,Ecuador,2019,17374
103,59,Egypt,2019,100388
105,60,El Salvador,2019,6454
107,63,Estonia,2019,1326
109,209,Eswatini,2019,1148
111,238,Ethiopia,2019,112079
113,66,Fiji,2019,890
115,67,Finland,2019,5532
117,68,France,2019,65130
119,70,French Polynesia,2019,279
121,74,Gabon,2019,2173
123,75,Gambia,2019,2348
125,73,Georgia,2019,3997
127,79,Germany,2019,83517
129,81,Ghana,2019,30418
131,84,Greece,2019,10473
133,86,Grenada,2019,112
135,89,Guatemala,2019,17581
137,90,Guinea,2019,12771
139,175,Guinea-Bissau,2019,1921
141,91,Guyana,2019,783
143,93,Haiti,2019,11263
145,95,Honduras,2019,9746
147,97,Hungary,2019,9685
149,99,Iceland,2019,339
151,100,India,2019,1366418
153,101,Indonesia,2019,270626
155,102,Iran (Islamic Republic of),2019,82914
157,103,Iraq,2019,33717
159,104,Ireland,2019,4882
161,105,Israel,2019,8519
163,106,Italy,2019,60550
165,109,Jamaica,2019,2948
167,110,Japan,2019,126860
169,112,Jordan,2019,10102
171,108,Kazakhstan,2019,18551
173,114,Kenya,2019,52574
175,83,Kiribati,2019,118
177,118,Kuwait,2019,4207
179,113,Kyrgyzstan,2019,6416
181,120,Lao People's Democratic Republic,2019,7169
183,119,Latvia,2019,1907
185,121,Lebanon,2019,6856
187,122,Lesotho,2019,2125
189,123,Liberia,2019,4937
191,124,Libya,2019,6777
193,126,Lithuania,2019,2760
195,256,Luxembourg,2019,616
197,129,Madagascar,2019,26969
199,130,Malawi,2019,18629
201,131,Malaysia,2019,31950
203,132,Maldives,2019,531
205,133,Mali,2019,19658
207,134,Malta,2019,440
209,136,Mauritania,2019,4526
211,137,Mauritius,2019,1270
213,138,Mexico,2019,127576
215,141,Mongolia,2019,3225
217,273,Montenegro,2019,628
219,143,Morocco,2019,36472
221,144,Mozambique,2019,30366
223,28,Myanmar,2019,54045
225,147,Namibia,2019,2495
227,149,Nepal,2019,28609
229,150,Netherlands,2019,17097
231,153,New Caledonia,2019,283
233,156,New Zealand,2019,4783
235,157,Nicaragua,2019,6546
237,158,Niger,2019,23311
239,159,Nigeria,2019,200964
241,154,North Macedonia,2019,2083
243,162,Norway,2019,5379
245,221,Oman,2019,4975
247,165,Pakistan,2019,216565
249,166,Panama,2019,4246
251,168,Papua New Guinea,2019,8776
253,169,Paraguay,2019,7045
255,170,Peru,2019,32510
257,171,Philippines,2019,108117
259,173,Poland,2019,37888
261,174,Portugal,2019,10226
263,117,Republic of Korea,2019,51225
265,146,Republic of Moldova,2019,4043
267,183,Romania,2019,19365
269,185,Russian Federation,2019,145872
271,184,Rwanda,2019,12627
273,188,Saint Kitts and Nevis,2019,53
275,189,Saint Lucia,2019,183
277,191,Saint Vincent and the Grenadines,2019,111
279,244,Samoa,2019,197
281,193,Sao Tome and Principe,2019,215
283,194,Saudi Arabia,2019,34269
285,195,Senegal,2019,16296
287,272,Serbia,2019,8772
289,196,Seychelles,2019,98
291,197,Sierra Leone,2019,7813
293,199,Slovakia,2019,5457
295,198,Slovenia,2019,2079
297,25,Solomon Islands,2019,670
299,202,South Africa,2019,58558
301,203,Spain,2019,46737
303,38,Sri Lanka,2019,21324
305,276,Sudan,2019,42813
307,207,Suriname,2019,581
309,210,Sweden,2019,10036
311,211,Switzerland,2019,8591
313,212,Syrian Arab Republic,2019,17070
315,208,Tajikistan,2019,9321
317,216,Thailand,2019,69626
319,176,Timor-Leste,2019,1293
321,217,Togo,2019,8082
323,220,Trinidad and Tobago,2019,1395
325,222,Tunisia,2019,11695
327,223,Turkey,2019,83430
329,213,Turkmenistan,2019,5942
331,226,Uganda,2019,44270
333,230,Ukraine,2019,43994
335,229,United Kingdom of Great Britain and Northern Ireland,2019,67530
337,215,United Republic of Tanzania,2019,58005
339,231,United States of America,2019,329065
341,234,Uruguay,2019,3462
343,235,Uzbekistan,2019,32982
345,155,Vanuatu,2019,300
347,236,Venezuela (Bolivarian Republic of),2019,28516
349,237,Viet Nam,2019,96462
351,249,Yemen,2019,29162
353,251,Zambia,2019,17861
355,181,Zimbabwe,2019,14645
