Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value
"SDGB","SDG Indicators","2","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","9.7"
"SDGB","SDG Indicators","1","Armenia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.1"
"SDGB","SDG Indicators","52","Azerbaijan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","13","Bahrain","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","16","Bangladesh","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","15.9"
"SDGB","SDG Indicators","18","Bhutan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","26","Brunei Darussalam","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","115","Cambodia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1"
"SDGB","SDG Indicators","96","China, Hong Kong SAR","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","128","China, Macao SAR","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","41","China, mainland","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","50","Cyprus","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","116","Democratic People's Republic of Korea","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","10.9"
"SDGB","SDG Indicators","73","Georgia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.3"
"SDGB","SDG Indicators","100","India","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","208.6"
"SDGB","SDG Indicators","101","Indonesia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","17.6"
"SDGB","SDG Indicators","102","Iran (Islamic Republic of)","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","4.6"
"SDGB","SDG Indicators","103","Iraq","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","14.7"
"SDGB","SDG Indicators","105","Israel","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","110","Japan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","112","Jordan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1"
"SDGB","SDG Indicators","108","Kazakhstan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","118","Kuwait","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","113","Kyrgyzstan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.5"
"SDGB","SDG Indicators","120","Lao People's Democratic Republic","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.4"
"SDGB","SDG Indicators","121","Lebanon","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.6"
"SDGB","SDG Indicators","131","Malaysia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1"
"SDGB","SDG Indicators","132","Maldives","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","141","Mongolia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.1"
"SDGB","SDG Indicators","28","Myanmar","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","4.1"
"SDGB","SDG Indicators","149","Nepal","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1.4"
"SDGB","SDG Indicators","221","Oman","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.4"
"SDGB","SDG Indicators","165","Pakistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","27.9"
"SDGB","SDG Indicators","299","Palestine","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","171","Philippines","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","10.1"
"SDGB","SDG Indicators","179","Qatar","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","117","Republic of Korea","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","194","Saudi Arabia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1.3"
"SDGB","SDG Indicators","200","Singapore","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","38","Sri Lanka","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1.4"
"SDGB","SDG Indicators","212","Syrian Arab Republic","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","208","Tajikistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","216","Thailand","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","5.7"
"SDGB","SDG Indicators","176","Timor-Leste","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.3"
"SDGB","SDG Indicators","223","Turkey","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","213","Turkmenistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.2"
"SDGB","SDG Indicators","225","United Arab Emirates","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.4"
"SDGB","SDG Indicators","235","Uzbekistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","237","Viet Nam","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","6.5"
"SDGB","SDG Indicators","249","Yemen","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","13.2"
