Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","9.7"
"SDGB","SDG Indicators","024","Angola","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","5.5"
"SDGB","SDG Indicators","050","Bangladesh","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","15.9"
"SDGB","SDG Indicators","204","Benin","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.9"
"SDGB","SDG Indicators","064","Bhutan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","854","Burkina Faso","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","2.9"
"SDGB","SDG Indicators","108","Burundi","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","116","Cambodia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1"
"SDGB","SDG Indicators","140","Central African Republic","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","2.3"
"SDGB","SDG Indicators","148","Chad","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","5.1"
"SDGB","SDG Indicators","174","Comoros","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","180","Democratic Republic of the Congo","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","36.2"
"SDGB","SDG Indicators","262","Djibouti","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.2"
"SDGB","SDG Indicators","232","Eritrea","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","231","Ethiopia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","18.2"
"SDGB","SDG Indicators","270","Gambia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.3"
"SDGB","SDG Indicators","324","Guinea","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","624","Guinea-Bissau","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","332","Haiti","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","5.3"
"SDGB","SDG Indicators","296","Kiribati","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","418","Lao People's Democratic Republic","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.4"
"SDGB","SDG Indicators","426","Lesotho","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.5"
"SDGB","SDG Indicators","430","Liberia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1.9"
"SDGB","SDG Indicators","450","Madagascar","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","11.7"
"SDGB","SDG Indicators","454","Malawi","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","3.2"
"SDGB","SDG Indicators","466","Mali","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","2"
"SDGB","SDG Indicators","478","Mauritania","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.4"
"SDGB","SDG Indicators","508","Mozambique","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","9.5"
"SDGB","SDG Indicators","104","Myanmar","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","4.1"
"SDGB","SDG Indicators","524","Nepal","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1.4"
"SDGB","SDG Indicators","562","Niger","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","646","Rwanda","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","4.4"
"SDGB","SDG Indicators","678","Sao Tome and Principe","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","686","Senegal","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","1.2"
"SDGB","SDG Indicators","694","Sierra Leone","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","2"
"SDGB","SDG Indicators","090","Solomon Islands","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","0.1"
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","9.2"
"SDGB","SDG Indicators","728","South Sudan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions",""
"SDGB","SDG Indicators","729","Sudan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people (millions)","2019","2019","millions","5.3"
